n_sections,condition_number,tensor_shape_error
4.000000000000000000e+00,1.967596870430328604e+00,1.439819137107007929e-01
4.000000000000000000e+00,2.569991459810446521e+00,1.361581442760392280e-01
4.000000000000000000e+00,7.647671768690843308e+00,1.358604521290296130e-01
4.000000000000000000e+00,2.287260182716306822e+00,1.674210661743935069e-01
4.000000000000000000e+00,2.334226481108713003e+00,1.704935917100721676e-01
4.000000000000000000e+00,2.470676240375435651e+00,3.305044046060465202e-01
4.000000000000000000e+00,1.081976710604853942e+01,2.637227398584589544e-01
4.000000000000000000e+00,3.571996377187140581e+01,1.918075903657343595e-01
4.000000000000000000e+00,7.028021841841452400e+00,2.974863334120742553e-01
4.000000000000000000e+00,3.059425543126502500e+00,9.615191652738616646e-02
4.000000000000000000e+00,4.263363890156911751e+00,3.665033370143401803e-01
4.000000000000000000e+00,2.865649628845643893e+00,1.145123660946389815e-01
4.000000000000000000e+00,2.660609060054657249e+00,1.719014507120787960e-01
4.000000000000000000e+00,2.443777392757426448e+00,7.697282794040241627e-02
4.000000000000000000e+00,2.439588841110543971e+00,1.038386568236640134e-01
4.000000000000000000e+00,4.390959360963390345e+00,6.081207335720235918e-02
4.000000000000000000e+00,2.983813528041597607e+00,2.030221559367625106e-01
4.000000000000000000e+00,1.061101351056701603e+01,3.129691965565285505e-01
4.000000000000000000e+00,6.069872663694203752e+00,6.164431924802971779e-02
4.000000000000000000e+00,5.806304817665150608e+00,2.010536098867683752e-01
4.000000000000000000e+00,2.102202023489390559e+00,9.212762084902426096e-02
4.000000000000000000e+00,3.021231157473062812e+00,8.793205246812704767e-02
4.000000000000000000e+00,2.317086366495098471e+00,1.050951641957510868e-01
4.000000000000000000e+00,2.467384269373253058e+00,1.566939522023707565e-01
