rock,sample_id,role,source_title,source_authors,doi,figshare_article_id,archive_filename,local_filename,sha256,bytes,shape,dtype,voxel_size_um,pore_value,solid_value,manuscript_citation
Bentheimer sandstone,Kocurek 15A ROI-1,Figure 6 real-rock validation,"Full scale, microscopically resolved tomographies of sandstone and carbonate rocks augmented by experimental porosity and permeability values","Ferreira et al.",10.25452/figshare.plus.21375565,21375565,kocurek_15a_2p25um_ir_rec_2500x2500x2500_binary_ROI-1.raw.tar.bz2,kocurek_15a_2p25um_ir_rec_2500x2500x2500_binary_ROI-1.raw,6d295da74147807b0d395c624e9aff4fae85a0aaaad4c878cc948b1ad0e29e28,15625000000,"2500x2500x2500",uint8,2.25,0,1,Ferreira2023
Edwards Brown carbonate,EdB-1 ROI-1,Figure 6 real-rock validation,"Full scale, microscopically resolved tomographies of sandstone and carbonate rocks augmented by experimental porosity and permeability values","Ferreira et al.",10.25452/figshare.plus.21375565,21375565,edb-1_2p25um_ir_rec_2500x2500x2500_binary_ROI-1.raw.tar.bz2,edb-1_2p25um_ir_rec_2500x2500x2500_binary_ROI-1.raw,37d17740c65e64e7bb770f05625fe2dc41db37acbae5a75c29418f117b62cf0b,15625000000,"2500x2500x2500",uint8,2.25,0,1,Ferreira2023
