rock,total_sections,E_median,E_q1,E_q3,Aerr_median,Aerr_q1,Aerr_q3,position_IQR_median,position_IQR_q1,position_IQR_q3,phi_rms_median,pct_E_le_10,pct_E_le_15,pct_E_le_20,valid_fraction_median,valid_fraction_min
Bentheimer,3,0.18003221355314133,0.17089147269352029,0.20499439185917667,0.13269113774354402,0.09830480761480498,0.16089976441955978,0.09152441998894062,0.07483255597756754,0.09921591929822042,0.024620381198858888,0.0,0.0,70.37037037037037,1.0,1.0
Bentheimer,9,0.10060247481031678,0.09164831003277384,0.11310023675691441,0.03534467870372904,0.022581034133572042,0.06241049911847363,0.047046729869751044,0.04255930027260724,0.05242360204996774,0.01305805692855433,48.148148148148145,100.0,100.0,1.0,1.0
Bentheimer,15,0.07424804793942091,0.06793594503012865,0.08645421623597956,0.022382779702142974,0.010312817908907257,0.04692404926259963,0.033884078980014776,0.030626909692132623,0.037859738493051326,0.009147634577910783,92.5925925925926,100.0,100.0,1.0,1.0
Bentheimer,21,0.06319621060678302,0.05353022098020002,0.07255609035960799,0.022601471716442223,0.010483976377407611,0.05195330561337064,0.02626272680247848,0.023291431144434552,0.030219027665361425,0.007240758558946885,100.0,100.0,100.0,1.0,1.0
Edwards Brown,3,0.38843108152125216,0.3326307580394361,0.5222875115808014,0.38365371847831664,0.2358347546487244,0.5720126994783583,0.26832732690537975,0.2304723290733236,0.38378093951352255,0.038630767770937664,0.0,0.0,0.0,1.0,0.855
Edwards Brown,9,0.2313740269260303,0.16982976082134651,0.30760205184087697,0.09301475137700899,0.0678082326036592,0.19631553358814047,0.1513977279161605,0.09857455579700636,0.1861607521521042,0.019247744148227323,0.0,18.51851851851852,33.33333333333333,1.0,1.0
Edwards Brown,15,0.1891776501211141,0.13582855891903178,0.265847539110136,0.07836926132833089,0.03175486337607314,0.14243939491875124,0.1026892406015899,0.06678374762572369,0.12429175115253649,0.013484140173517647,18.51851851851852,33.33333333333333,55.55555555555556,1.0,1.0
Edwards Brown,21,0.169380240618839,0.12204629917439988,0.24218540431334556,0.0660171556639455,0.027622991407350694,0.16624888140120242,0.06945094917824446,0.04879756570690636,0.09936985856413166,0.010473696930055645,18.51851851851852,44.44444444444444,62.96296296296296,1.0,1.0
