subvolume_id,grid_i,grid_j,grid_k,center_a0,center_a1,center_a2,porosity,A_ref,ell_geom_ref,major_gap,orientation_reliable,seed_eta_median,seed_pair_median,seed_pair_max,seed_A_sd,seed_ell_geom_cv,q00,q11,q22,q01,q02,q12
G00,0,0,0,384,384,384,0.008425265550613403,1.1597684339651926,2.8235615252809123,0.04783858040965101,False,0.02375900659706319,0.18543630315465606,0.22414255413942588,0.05660441150053328,0.07071342276679156,0.11123375278081936,0.1285711196258382,0.1394005921728469,-0.004772361249017208,0.0038824639013394827,-0.011823310963191188
G01,0,0,1,384,384,1250,0.10964719206094742,1.3058048491940109,11.668059184989168,0.09358695640728507,False,0.02297063518319449,0.0652690611990395,0.09212519564654968,0.028127429937318045,0.01631083677168038,0.006198469864084598,0.008458615121943111,0.0079289832237941,0.000987274341224869,0.00016759841394287938,0.0013871939283774876
G02,0,0,2,384,384,2116,0.27834656834602356,1.4246813900828912,12.77109378767912,0.1080614649815264,True,0.024426673369575245,0.06211265854291071,0.10027094285955171,0.050261037345908435,0.017025467431078817,0.0069860920455080714,0.005484197236754068,0.006764107768900935,0.0014179833110562392,0.0012303307789275572,0.0012655281819403585
G03,0,1,0,384,1250,384,0.3493124023079872,1.4353682860942634,31.118538581613734,0.15836885409302395,True,0.029531181796930473,0.04239442950957138,0.053763500405037766,0.02711104580947491,0.01349854601365706,0.0009989424029752988,0.001083791229333733,0.001152495584309777,-0.0001221442856818435,8.355546382344832e-06,0.00035865067013759897
G04,0,1,1,384,1250,1250,0.20794623345136642,1.2988752964270673,8.792703121631472,0.09707330363141198,False,0.01715989847242776,0.04925688442516489,0.07089222854682513,0.02791469061751337,0.015342562482988266,0.010463355373188418,0.015304712424738107,0.013956669261456655,-0.000546832294548526,0.0010882647723133051,-0.002214168428198832
G05,0,1,2,384,1250,2116,0.19217266142368317,1.0955613671801427,6.924926122337279,0.06387273367798554,False,0.012478154260028289,0.03643777433197706,0.06500996348597635,0.01749185811392284,0.015784363942635268,0.01925612232292688,0.02141720482891194,0.022068905825842755,-0.00035005486490261435,0.001125038443891867,0.00041990251993431565
G06,0,2,0,384,2116,384,0.26894713193178177,1.8859755867841839,29.709488857036263,0.17710254150303645,True,0.033287552144218586,0.059399508565998446,0.09848541926418673,0.053108440099830755,0.01416351602182148,0.0007294333619211957,0.0013856701385168671,0.0018173493576503284,-3.71228452165358e-05,0.00024397577227183766,-0.0006513750757165906
G07,0,2,1,384,2116,1250,0.06020604819059372,1.1567817304931185,3.6449481422479133,0.05514656240638369,False,0.015677559003185182,0.08943414180342003,0.13925434969878553,0.041740532719327324,0.03293904118069,0.06728768886236522,0.07427284626613269,0.08588962107849579,0.00146549065387286,0.003928264510900818,-0.004607447474465707
G08,0,2,2,384,2116,2116,0.10527504235506058,1.2246297216956876,13.213889688512266,0.09480976489705653,False,0.02354077196626398,0.08062699215967101,0.11262026903961095,0.02366891579751616,0.010969102257584951,0.004944203006280129,0.0066711518569116685,0.00580236619834292,0.0007219758590918742,0.00012464804364267638,0.00030404513208852254
G09,1,0,0,1250,384,384,0.2241559475660324,1.2409324374792392,10.89778239305959,0.09530280341505974,False,0.021196686313355757,0.0459527498819542,0.07188483928912527,0.023965069190057878,0.015441185686575681,0.007138752328700481,0.008354363009341973,0.010164169116226694,-0.00038560025342738324,-0.0006191747638650252,-0.000759308258958516
