subvolume_id,n_per_orientation,total_sections,E_median,E_q1,E_q3,E_p05,E_p95,A_ref,A_sparse_median,A_sparse_q1,A_sparse_q3,abs_A_error,eta_sparse_median,phi_rms_median,orientation_reliable
G00,1,3,0.16546884327408773,0.11551648417004375,0.22500960153958108,0.07355837391228753,0.29872847743177655,1.2333084494598203,1.3673646155559929,1.2936371908331676,1.4428774403894407,0.13405616609617255,0.058597607471911534,0.026874593768080726,False
G00,3,9,0.08633526176254609,0.06648100533626344,0.11096566569042124,0.049770215313220206,0.13780581633434907,1.2333084494598203,1.2971619081873063,1.2624486519928277,1.329805944448148,0.06385345872748593,0.09457609650275026,0.013867568358041156,False
G00,5,15,0.06816154387142051,0.052445224034733465,0.08124126017763061,0.0308321351024457,0.11638370172027324,1.2333084494598203,1.2954575613194823,1.2585432975533646,1.325186611447399,0.06214911185966199,0.10081569286089062,0.009992708772063336,False
G00,7,21,0.05956953517427453,0.0415904776547584,0.0736054345099828,0.025246714186055657,0.08876393453628416,1.2333084494598203,1.293061475946014,1.2686715738415362,1.31491426116709,0.05975302648619363,0.10437541033884457,0.008204999647793743,False
G01,1,3,0.18003221355314133,0.13930722315201655,0.23311397154921332,0.07996035672621041,0.29723754617800724,1.1888203033320672,1.3215114410756112,1.242534793150353,1.4231329959501897,0.13269113774354402,0.06013291181366362,0.02561428725922192,False
G01,3,9,0.09793977097251441,0.0751593661138501,0.12317057828176514,0.04259487315117308,0.15853394883692148,1.1888203033320672,1.2246846658509267,1.1869333651132936,1.2800910241080254,0.035864362518859494,0.11705274646568928,0.01797524609886588,False
G01,5,15,0.06771034618883678,0.049251141065748454,0.08680292354988073,0.03924764314567607,0.11162524696287791,1.1888203033320672,1.2099924254131273,1.1813001237237977,1.2411326402996057,0.02117212208106012,0.12593077606114927,0.012511858485437264,False
G01,7,21,0.0521618483685644,0.0420602389866305,0.0632151332290206,0.030301042400906125,0.08074670252577437,1.1888203033320672,1.1960577987762857,1.1710927604167505,1.2217514833593854,0.007237495444218478,0.1293828402500345,0.009639746555093524,False
G02,1,3,0.15724711829315363,0.12218835467612926,0.19136697581509227,0.07212852315552074,0.2363375598693742,1.1924246513596142,1.2886776297387725,1.2207783872865332,1.348103464022142,0.09625297837915836,0.04415312872890517,0.01780918017165514,False
G02,3,9,0.0911038879548429,0.07025859939479187,0.1076775121707535,0.03774746384191625,0.13284098041922404,1.1924246513596142,1.221940017556061,1.1776587884949432,1.2540387538444688,0.0295153661964469,0.08311797645622651,0.010958051325566352,False
G02,5,15,0.06728227934837833,0.055176357038477376,0.08140538123707351,0.034467869065211494,0.10603344499828121,1.1924246513596142,1.2019341118953741,1.1767149953970206,1.2276973200461478,0.009509460535759962,0.08550142762647127,0.007274460921344417,False
G02,7,21,0.05188716113773838,0.04257686170649257,0.06392425187501062,0.027737121841436195,0.07741248731203469,1.1924246513596142,1.1918595646123336,1.1767435632278849,1.209490327546709,0.0005650867472806187,0.08842374637994697,0.005936896044487678,False
G03,1,3,0.21673406763334407,0.18338729460455563,0.25894792994127047,0.1272614835583085,0.3628082491100866,1.1780859067613885,1.3168606107020346,1.2260412562152148,1.4031491382958263,0.13877470394064617,0.06764114135561872,0.025610511999525014,False
G03,3,9,0.13187463640235964,0.11222826979323083,0.15866328897803605,0.08033879588586924,0.19827638431753894,1.1780859067613885,1.198065103623791,1.1490824131627293,1.2380773070844155,0.01997919686240257,0.11485437147419023,0.013320532066234729,False
G03,5,15,0.10711373022497124,0.08979276002220646,0.1266202675453608,0.06819403517020735,0.1477200729017037,1.1780859067613885,1.1603664249547507,1.1300132973072858,1.1918571580239377,0.017719481806637738,0.12186734868767181,0.008651253773471007,False
G03,7,21,0.09264411689904953,0.0827584865044782,0.10612887779784412,0.06769997070040272,0.12719265328700982,1.1780859067613885,1.1525020591113158,1.1297134238160387,1.1755996886845865,0.02558384765007271,0.12849603836925738,0.006350299528590922,False
