subvolume_id,n_per_orientation,total_sections,E_median,E_q1,E_q3,E_p05,E_p95,A_ref,A_sparse_median,A_sparse_q1,A_sparse_q3,abs_A_error,eta_sparse_median,phi_rms_median,orientation_reliable,n_attempted,n_valid,n_invalid,valid_fraction
G00,1,3,0.2289414380227822,0.1716982044684663,0.2960135701566014,0.09243126461223529,0.4246970125413556,1.1597684339651926,1.3839958231501568,1.291372893099884,1.5136224913023675,0.2242273891849642,0.09803716099829762,0.002673906322457374,False,200,200,0,1.0
G00,3,9,0.1290849643654879,0.08771652058763749,0.1606915067172446,0.047937154541853336,0.2332478344183283,1.1597684339651926,1.2833828920567707,1.2198364110114912,1.364056256058699,0.12361445809157812,0.14508618041489196,0.001624072558232441,False,200,200,0,1.0
G00,5,15,0.09823400191664682,0.07008876580756213,0.13593585159570812,0.03929036815724328,0.18642035505874732,1.1597684339651926,1.2634006272418854,1.2185980754728258,1.3100651469398237,0.10363219327669282,0.17189113144200338,0.0013617012812551343,False,200,200,0,1.0
G00,7,21,0.08403390045117307,0.06235942881226271,0.10643552385055915,0.04165094492496913,0.14602326357750922,1.1597684339651926,1.252368328646189,1.2153602193482986,1.2911296874567961,0.0925998946809965,0.17248697622501072,0.0011889016018713956,False,200,200,0,1.0
G01,1,3,0.4076369548466863,0.2974581707775371,0.5911543125751435,0.18318898722370158,1.10041336765629,1.3058048491940109,1.5938784278469453,1.4241986065468386,1.9488417714764803,0.2880735786529345,0.18305348574879524,0.04246854767302938,False,200,200,0,1.0
G01,3,9,0.30193599219640005,0.22031883537708108,0.3931720421370503,0.1333099187671906,0.5291723439130811,1.3058048491940109,1.3921665045036584,1.3126570633722885,1.5223625205279845,0.08636165530964757,0.3178859584727768,0.020208910919292417,False,200,200,0,1.0
G01,5,15,0.28016448761255497,0.21775417682008943,0.3346431044069421,0.1599516693612617,0.4395389561390389,1.3058048491940109,1.3307088205362436,1.2407637301353311,1.414404089840612,0.024903971342232767,0.33704523377262857,0.012723412839641107,False,200,200,0,1.0
G01,7,21,0.28487360129159545,0.23811182460923458,0.3317365773637958,0.15725572599490872,0.3850097976166279,1.3058048491940109,1.3313887743119082,1.2499944183073082,1.3962350388803417,0.02558392511789731,0.3406503481652672,0.009800901445514806,False,200,200,0,1.0
G02,1,3,0.3454708639294308,0.2661329361011683,0.4353236552074654,0.15180223954667638,0.5880081418190592,1.4246813900828912,1.6315993207135757,1.4711452316566347,1.7716079187641398,0.20691793063068453,0.16939348073959237,0.02075404729741375,True,200,200,0,1.0
G02,3,9,0.16677214892866643,0.13567691835142007,0.2267773178675346,0.09917095593269114,0.3390405442392045,1.4246813900828912,1.404506022823591,1.332022028294351,1.489580416651934,0.020175367259300137,0.27343471195818403,0.01242611189196859,True,200,200,0,1.0
G02,5,15,0.12920716782268737,0.10982570788952283,0.1591110998556039,0.07768431738204755,0.2117153867945267,1.4246813900828912,1.363940238214735,1.3071612202525993,1.428383810641837,0.06074115186815621,0.29437547408140396,0.009132901995037745,True,200,200,0,1.0
G02,7,21,0.11814164834464659,0.09948147990637475,0.14155562421958154,0.07864301105832158,0.1828680867754781,1.4246813900828912,1.3396938566225973,1.310227283012273,1.3736059623216617,0.08498753346029386,0.30261568011233775,0.00786352241391641,True,200,200,0,1.0
G03,1,3,0.5388368802937582,0.430288729234327,0.9106360763877214,0.2734419510746772,340.66338904327944,1.4353682860942634,1.918171437597354,1.6152656059291026,2.710505921323099,0.4828031515030906,0.21072185257420417,0.07373390116826589,True,200,200,0,1.0
G03,3,9,0.49356277299358897,0.38177721215407123,0.7241442168820509,0.2726844616771839,1.6388744771857908,1.4353682860942634,1.6557421711322373,1.4002993111477013,2.3451938288355954,0.22037388503797395,0.31676730952534526,0.03685256623218201,True,200,200,0,1.0
G03,5,15,0.5000521028645448,0.3558217569383212,0.6093330287234384,0.2777485080649987,0.9474909554383109,1.4353682860942634,1.7020913260871444,1.3235985381802087,2.015625612213246,0.26672303999288105,0.33746636207483827,0.02773799026700054,True,200,200,0,1.0
G03,7,21,0.487504930736154,0.40556222257124597,0.5652209839225326,0.30782879959268805,0.6871107343035158,1.4353682860942634,1.684722710076378,1.4860455990819335,1.9049469450062904,0.2493544239821146,0.3495011177244093,0.022414952023803378,True,200,200,0,1.0
